ID,ALAND,AWATER,npp_p_to12,npp_pco12c,Tot_area,Per_land,NPP_P_mod
ALABAMA_SHELBY,2034134905,62515663,14277.3465,22,2096650568,97.018308,6.689153
ALABAMA_SUMTER,2340898915,24634883,17108.14838,27,2365533798,98.958591,6.403033
ALABAMA_TALLADEGA,1908293036,60927931,13154.25153,20,1969220967,96.905988,6.78712
ALABAMA_TALLAPOOSA,1855782851,128806123,12801.27875,20,1984588974,93.509683,6.844895
ALABAMA_TUSCALOOSA,3421010003,78714550,24174.62207,37,3499724553,97.750836,6.684016
ALABAMA_WALKER,2048686078,36754696,16686.98743,25,2085440774,98.237557,6.794545
ALABAMA_WASHINGTON,2797720322,21652733,19389.43475,30,2819373055,99.232002,6.513166
ALABAMA_WILCOX,2301075085,49057525,15288.13208,25,2350132610,97.912564,6.245626
ALABAMA_WINSTON,1587614057,48917203,10076.77033,15,1636531260,97.010922,6.924836
ARIZONA_APACHE,29002035366,54153162,67108.94405,306,29056188528,99.813626,2.197198
ARIZONA_COCHISE,16083174724,17667961,28472.46695,168,16100842685,99.890267,1.696651
ARIZONA_COCONINO,48217246133,116631412,123390.049,513,48333877545,99.758696,2.411082
ARIZONA_GILA,12323152721,97113523,32620.89911,129,12420266244,99.218104,2.54868
ARIZONA_GRAHAM,11970605964,47476264,24252.83792,130,12018082228,99.60496,1.873002
ARIZONA_GREENLEE,4771123868,13750620,11988.03758,49,4784874488,99.712623,2.453589
ARIZONA_LAPAZ,11645512187,36551630,8058.20739,124,11682063817,99.687113,0.651895
ARIZONA_MARICOPA,23829622328,63347750,25657.70962,250,23892970078,99.734869,1.029037
ARIZONA_MOHAVE,34529358909,333447540,60917.88188,363,34862806449,99.043544,1.694385
ARIZONA_NAVAJO,25770517979,24125805,49240.70152,271,25794643784,99.90647,1.818701
ARIZONA_PIMA,23798597214,5112470,28715.13554,250,23803709684,99.978522,1.148852
ARIZONA_PINAL,13897997152,22344370,19210.94299,147,13920341522,99.839484,1.308968
ARIZONA_SANTA CRUZ,3201833002,3088479,7279.06015,33,3204921481,99.903633,2.207903
ARIZONA_YAVAPAI,21038727465,11501576,54126.16493,222,21050229041,99.945361,2.439448
ARIZONA_YUMA,14280777606,13248642,3582.873945,151,14294026248,99.907313,0.237497
ARKANSAS_ARKANSAS,2561013146,116378934,18275.36481,30,2677392080,95.653273,6.368615
ARKANSAS_ASHLEY,2396668938,39291076,13998.57867,23,2435960014,98.387039,6.186118
ARKANSAS_BAXTER,1435504137,84171720,8001.0495,14,1519675857,94.461206,6.05014
ARKANSAS_BENTON,2196053836,94223432,14821.84717,25,2290277268,95.885938,6.183116
ARKANSAS_BOONE,1528080514,31092205,9263.529236,16,1559172719,98.005852,5.90751
ARKANSAS_BRADLEY,1681512201,9535200,9872.206909,16,1691047401,99.436136,6.205118
ARKANSAS_CALHOUN,1627975429,9926146,9954.433167,16,1637901575,99.393972,6.259455
ARKANSAS_CARROLL,1631823636,22397554,9453.051147,16,1654221190,98.646036,5.989249
ARKANSAS_CHICOT,1669835058,119303631,12210.65125,20,1789138689,93.331784,6.541529
ARKANSAS_CLARK,2243130283,43387661,15361.33441,25,2286517944,98.102457,6.263384
ARKANSAS_CLAY,1656214474,5097734,8150.461914,14,1661312208,99.69315,5.839678
ARKANSAS_CLEBURNE,1434077953,98890719,9344.75293,16,1532968672,93.549071,6.243216
ARKANSAS_CLEVELAND,1548239710,2500196,9927.358643,16,1550739906,99.838774,6.214619
ARKANSAS_COLUMBIA,1983887989,1990757,13374.8595,22,1985878746,99.899754,6.085582
ARKANSAS_CONWAY,1430388148,37328675,8844.373779,15,1467716823,97.456684,6.050123
ARKANSAS_CRAIGHEAD,1831907088,14029461,12308.92151,21,1845936549,99.239981,5.90628
ARKANSAS_CRAWFORD,1537849721,28387848,8715.01709,15,1566237569,98.187513,5.917261
ARKANSAS_CRITTENDEN,1580882918,67433862,10475.87054,17,1648316780,95.908926,6.425134
ARKANSAS_CROSS,1596421810,15344835,9165.258484,15,1611766645,99.047949,6.168903
ARKANSAS_DALLAS,1728522507,1864048,10762.66083,17,1730386555,99.892276,6.337804
ARKANSAS_DESHA,1989461618,133085432,13375.86218,22,2122547050,93.729918,6.486656
ARKANSAS_DREW,2145488990,18914023,15310.19324,25,2164403013,99.126132,6.178065
ARKANSAS_FAULKNER,1678199700,41766665,10694.47266,17,1719966365,97.571658,6.447432
ARKANSAS_FRANKLIN,1576909749,27950884,9875.215027,17,1604860633,98.258361,5.911914
ARKANSAS_FULTON,1601099815,5526928,11486.65576,20,1606626743,99.655992,5.763154
ARKANSAS_GARLAND,1755025617,147393195,9544.30304,16,1902418812,92.252327,6.466167
ARKANSAS_GRANT,1636384327,2896901,12973.75427,20,1639281228,99.823282,6.498361
ARKANSAS_GREENE,1496205800,4789610,10411.69336,18,1500995410,99.680904,5.802791
ARKANSAS_HEMPSTEAD,1884271055,35369289,11039.42334,18,1919640344,98.157504,6.248135
ARKANSAS_HOT SPRING,1593594553,18034772,9298.625916,15,1611629325,98.88096,6.269239
ARKANSAS_HOWARD,1524380362,17475613,11259.02856,18,1541855975,98.866586,6.326724
ARKANSAS_INDEPENDENCE,1978814985,19593589,10954.18811,19,1998408574,99.01954,5.822449
ARKANSAS_IZARD,1503735021,8913817,10284.3418,18,1512648838,99.410715,5.747392
ARKANSAS_JACKSON,1641629489,19623387,10523.00049,18,1661252876,98.81876,5.915993
ARKANSAS_JEFFERSON,2253424970,113261151,14615.27802,23,2366686121,95.214357,6.673856
ARKANSAS_JOHNSON,1708980734,58598404,11523.75732,20,1767579138,96.684821,5.959445
ARKANSAS_LAFAYETTE,1368278171,43469432,8556.58075,14,1411747603,96.920878,6.306013
ARKANSAS_LAWRENCE,1521913730,12286149,8565.605225,15,1534199879,99.199182,5.756503
ARKANSAS_LEE,1560781755,43720909,11115.63336,18,1604502664,97.275111,6.348337
ARKANSAS_LINCOLN,1454383536,27514923,9236.454529,15,1481898459,98.143265,6.27413
ARKANSAS_LITTLE RIVER,1378511385,84225310,8750.11438,14,1462736695,94.241936,6.631954
ARKANSAS_LOGAN,1834415737,61409940,9978.498901,17,1895825677,96.760781,6.066203
ARKANSAS_LONOKE,1997848802,82750645,12429.25336,19,2080599447,96.02275,6.812669
ARKANSAS_MADISON,2160720581,7318310,12767.18549,22,2168038891,99.662446,5.822922
ARKANSAS_MARION,1546110609,112284588,9085.036987,16,1658395197,93.229323,6.090517
ARKANSAS_MILLER,1620637610,30875065,11072.51465,18,1651512675,98.130498,6.268588
ARKANSAS_MISSISSIPPI,2332481583,49826387,13823.0954,23,2382307970,97.908483,6.138428
ARKANSAS_MONROE,1572467982,36693587,10996.30469,18,1609161569,97.719708,6.251613
ARKANSAS_MONTGOMERY,2019984639,52914079,14795.77533,25,2072898718,97.447339,6.073342
ARKANSAS_NEVADA,1600206102,7241222,12821.33386,21,1607447324,99.54952,6.133025
ARKANSAS_NEWTON,2126132564,5930171,13717.80518,24,2132062735,99.721858,5.731694
ARKANSAS_OUACHITA,1897898727,18050436,11756.39911,19,1915949163,99.057885,6.246427
ARKANSAS_PERRY,1428530422,23226442,10701.492,18,1451756864,98.400115,6.041937
ARKANSAS_PHILLIPS,1801669169,82139041,13404.94275,22,1883808210,95.639734,6.370946
ARKANSAS_PIKE,1555611456,34977709,8440.260254,14,1590589165,97.800959,6.164313
ARKANSAS_POINSETT,1964149129,13520122,12631.81195,21,1977669251,99.316361,6.056554
ARKANSAS_POLK,2220863254,12372575,14960.22858,24,2233235829,99.44598,6.268155
ARKANSAS_POPE,2104407172,47240356,12107.36664,21,2151647528,97.804457,5.894836
ARKANSAS_PRAIRIE,1677973068,71807770,9942.399963,16,1749780838,95.896185,6.479924
ARKANSAS_PULASKI,1964339922,126230012,16561.64197,25,2090569934,93.961933,7.050362
ARKANSAS_RANDOLPH,1689251373,9889900,9871.203369,17,1699141273,99.417947,5.840586
ARKANSAS_SAINT FRANCIS,1644019105,20027489,11773.44629,19,1664046594,98.796459,6.272037
ARKANSAS_SALINE,1874047317,17969885,11539.80249,18,1892017202,99.050226,6.472475
ARKANSAS_SCOTT,2311217233,14870494,14434.78027,24,2326087727,99.360708,6.053189
ARKANSAS_SEARCY,1724955843,6256683,10718.53888,19,1731212526,99.638595,5.661798
ARKANSAS_SEBASTIAN,1375720610,37325387,9612.491394,16,1413045997,97.358516,6.170808
ARKANSAS_SEVIER,1464132101,41833257,8245.724304,13,1505965358,97.222163,6.524094
ARKANSAS_SHARP,1565401499,5201390,9706.750854,17,1570602889,99.668828,5.728826
ARKANSAS_STONE,1570754768,7842161,8552.569519,15,1578596929,99.50322,5.730179
ARKANSAS_UNION,2691655893,41400825,18555.13593,30,2733056718,98.485182,6.280179
ARKANSAS_VAN BUREN,1838244470,37694051,12085.30579,21,1875938521,97.990656,5.872915
ARKANSAS_WASHINGTON,2439709563,26898329,15142.73157,26,2466607892,98.909501,5.88834
ARKANSAS_WHITE,2680828175,18293048,18810.841,31,2699121223,99.322259,6.109419
ARKANSAS_WOODRUFF,1519769776,18703960,9768.922302,16,1538473736,98.784252,6.180718
ARKANSAS_YELL,2408958968,48394529,14044.70465,24,2457353497,98.030624,5.969523
CALIFORNIA_ALAMEDA,1909614756,216907015,11149.72693,19,2126521771,89.799916,6.534836
CALIFORNIA_ALPINE,1912292608,12557304,7993.027832,20,1924849912,99.347622,4.022758
CALIFORNIA_AMADOR,1539933596,29470567,9235.451385,17,1569404163,98.122181,5.536586
CALIFORNIA_BUTTE,4238488156,105261063,24872.54617,46,4343749219,97.576723,5.541358
CALIFORNIA_CALAVERAS,2641784992,43841871,14440.79709,28,2685626863,98.367537,5.243018
CALIFORNIA_COLUSA,2980332742,14608887,16904.58691,30,2994941629,99.512215,5.662483
CALIFORNIA_CONTRA COSTA,1857229826,225285866,9809.032471,17,2082515692,89.182033,6.469934
CALIFORNIA_DEL NORTE,2606117982,578742642,14991.31433,26,3184860624,81.828321,7.046326
CALIFORNIA_EL DORADO,4423299441,203342316,23960.0311,47,4626641757,95.60497,5.332232
CALIFORNIA_FRESNO,15432139300,136609898,58459.10672,163,15568749198,99.122538,3.618197
CALIFORNIA_GLENN,3403160291,33693350,19448.59781,36,3436853641,99.019645,5.455875
CALIFORNIA_HUMBOLDT,9241426488,1253864712,54756.90436,95,10495291200,88.053074,6.545921
CALIFORNIA_IMPERIAL,10814594615,790217372,2316.383652,113,11604811987,93.190606,0.219968
CALIFORNIA_INYO,26410680788,76915743,37463.24425,280,26487596531,99.709616,1.34187
CALIFORNIA_KERN,21062540828,78680980,67959.28754,224,21141221808,99.627831,3.04523
CALIFORNIA_KINGS,3600883803,3162664,11464.59494,37,3604046467,99.912247,3.101261
CALIFORNIA_LAKE,3254349190,188851723,19418.51508,37,3443200913,94.515228,5.552806
CALIFORNIA_LASSEN,11761615584,463426056,50319.67493,129,12225041640,96.209207,4.054446
CALIFORNIA_LOS ANGELES,10511861492,1793485467,45397.10877,108,12305346959,85.425153,4.920607
CALIFORNIA_MADERA,5534617472,42245931,20822.38388,56,5576863403,99.242479,3.746665
CALIFORNIA_MARIN,1347950152,797055812,6311.393524,12,2145005964,62.841324,8.369484
CALIFORNIA_MARIPOSA,3752472150,36225644,16966.75827,40,3788697794,99.04385,4.282638
CALIFORNIA_MENDOCINO,9081426663,962946206,47957.16357,92,10044372869,90.413078,5.765466
CALIFORNIA_MERCED,5014506620,110178168,24594.78037,55,5124684788,97.85005,4.570032
CALIFORNIA_MODOC,10225096402,661284408,44638.01718,115,10886380810,93.925581,4.132598
CALIFORNIA_MONO,7896838483,214695677,25365.9054,89,8111534160,97.353205,2.927589
CALIFORNIA_MONTEREY,8499616876,1267800137,46920.30658,88,9767417013,87.020108,6.127151
CALIFORNIA_NAPA,1937986794,104295181,13143.22034,23,2042281975,94.893204,6.021974
CALIFORNIA_NEVADA,2480587338,41531993,12932.64053,26,2522119331,98.35329,5.057373
CALIFORNIA_ORANGE,2053367783,401931862,6823.805634,20,2455299645,83.630028,4.079758
CALIFORNIA_PLACER,3644306246,246466620,20187.63495,39,3890772866,93.665356,5.526394
CALIFORNIA_PLUMAS,6612400910,156387636,30238.33331,71,6768788546,97.689577,4.359646
CALIFORNIA_RIVERSIDE,18671212657,243883196,26331.56651,197,18915095853,98.710643,1.354087
CALIFORNIA_SACRAMENTO,2499983887,75425434,15269.07947,26,2575409321,97.071322,6.049905
CALIFORNIA_SAN BENITO,3596591082,4719300,19552.88547,38,3601310382,99.868956,5.152248
CALIFORNIA_SAN BERNARDINO,51975576263,96414425,79870.11276,550,52071990688,99.814844,1.454878
CALIFORNIA_SAN DIEGO,10904373558,817404622,24425.31314,115,11721778180,93.026616,2.283153
CALIFORNIA_SAN FRANCISCO,121477743,479114582,544.293038,0.986896,600592325,20.226323,27.267433
CALIFORNIA_SAN JOAQUIN,3606127799,89109687,20832.41202,38,3695237486,97.588526,5.617683
CALIFORNIA_SAN LUIS OBISPO,8548557892,815573121,45105.30466,90,9364131013,91.290456,5.489841
CALIFORNIA_SAN MATEO,1161957020,757114175,5940.371033,10,1919071195,60.547885,9.81103
CALIFORNIA_SANTA BARBARA,7084063392,2729751706,36742.25662,67,9813815098,72.184602,7.60547
CALIFORNIA_SANTA CLARA,3343890934,33595384,22798.83069,38,3377486318,99.005314,6.05997
CALIFORNIA_SANTA CRUZ,1152794691,419743117,6654.338501,11,1572537808,73.307916,8.25204
CALIFORNIA_SHASTA,9778407493,186302040,45799.21701,106,9964709533,98.130382,4.403
CALIFORNIA_SIERRA,2468694583,23299110,11819.57346,27,2491993693,99.065041,4.418935
CALIFORNIA_SISKIYOU,16261933244,179149815,78102.2403,173,16441083059,98.910353,4.564315
CALIFORNIA_SOLANO,2128488719,218671901,13046.95587,22,2347160620,90.683556,6.539702
CALIFORNIA_SONOMA,4080764059,498182342,21367.88718,41,4578946401,89.120153,5.847925
CALIFORNIA_STANISLAUS,3874667416,46351766,20218.72052,40,3921019182,98.817864,5.115148
CALIFORNIA_SUTTER,1560546528,15240591,10042.67639,17,1575787119,99.032827,5.96515
CALIFORNIA_TEHAMA,7638228749,33767783,38550.23966,81,7671996532,99.559857,4.780329
CALIFORNIA_TRINITY,8234265082,73407950,44334.17975,86,8307673032,99.116384,5.201095
CALIFORNIA_TULARE,12494889125,37207487,39928.03653,133,12532096612,99.703102,3.011048
CALIFORNIA_TUOLUMNE,5752029633,138772442,26821.91809,63,5890802075,97.644252,4.360162
CALIFORNIA_VENTURA,4771987962,947345370,22835.93295,49,5719333332,83.436087,5.585586
CALIFORNIA_YOLO,2628144759,22878428,17631.59064,30,2651023187,99.136996,5.928359
CALIFORNIA_YUBA,1636913845,31057995,9430.990753,17,1667971840,98.137978,5.6529
COLORADO_ADAMS,3020716474,44323330,14769.70358,33,3065039804,98.553907,4.54134
COLORADO_ALAMOSA,1871465874,1847610,4828.306274,23,1873313484,99.901372,2.101336
COLORADO_ARAPAHOE,2066706152,19421685,10201.11295,22,2086127837,99.069008,4.680444
COLORADO_ARCHULETA,3496712109,13740247,14509.98779,36,3510452356,99.60859,4.04639
COLORADO_BACA,6617400568,6142192,26918.18332,70,6623542760,99.907267,3.849024
COLORADO_BENT,3918255147,73141518,13236.47809,44,3991396665,98.167521,3.064446
COLORADO_BOULDER,1881309466,36493405,9474.109436,20,1917802871,98.097124,4.828944
COLORADO_BROOMFIELD,85478765,1411396,422.338835,0.915799,86890161,98.375655,4.687852
COLORADO_CHAFFEE,2624715697,3999975,12456.32806,27,2628715672,99.847835,4.620486
COLORADO_CHEYENNE,4605713960,8166129,20997.86774,49,4613880089,99.82301,4.292877
COLORADO_CLEAR CREEK,1023234039,3274908,5260.497284,11,1026508947,99.680966,4.797576
COLORADO_CONEJOS,3334423894,9235012,10777.70221,36,3343658906,99.723805,3.002098
COLORADO_COSTILLA,3179452298,8828906,10581.16057,34,3188281204,99.723083,3.120748
COLORADO_CROWLEY,2039427872,33422981,6556.06781,21,2072850853,98.387584,3.173101
COLORADO_CUSTER,1913031921,3364150,8254.749084,23,1916396071,99.824454,3.595333
COLORADO_DELTA,2958090985,16786780,9950.421921,32,2974877765,99.435715,3.127153
COLORADO_DENVER,397024773,4245401,1408.882721,3,401270174,98.942009,4.746493
COLORADO_DOLORES,2763958510,2716141,8612.735641,28,2766674651,99.901827,3.079
COLORADO_DOUGLAS,2176240583,6798120,11189.83786,23,2183038703,99.688594,4.880345
COLORADO_EAGLE,4362757834,18967056,24197.68585,48,4381724890,99.567133,5.063101
COLORADO_EL PASO,5508514019,7087627,25062.0679,57,5515601646,99.871499,4.402949
COLORADO_ELBERT,4793643980,442147,24530.60336,53,4794086127,99.990777,4.632809
COLORADO_FREMONT,3970664378,2235542,17016.89664,40,3972899920,99.94373,4.256619
COLORADO_GARFIELD,7633795354,21708518,35389.5293,82,7655503872,99.716433,4.328069
COLORADO_GILPIN,388556733,942056,1909.261688,4,389498789,99.758136,4.784727
COLORADO_GRAND,4782273598,59889262,26683.53659,54,4842162860,98.763171,5.003278
COLORADO_GUNNISON,8389338078,53067068,43964.15964,92,8442405146,99.371422,4.808941
COLORADO_HINSDALE,2893614473,15324685,14694.49619,32,2908939158,99.473186,4.61635
COLORADO_HUERFANO,4120756304,5792101,13407.95049,43,4126548405,99.859638,3.122511
COLORADO_JACKSON,4179530230,18750017,22576.21719,46,4198280247,99.553388,4.929891
COLORADO_JEFFERSON,1979623397,25204513,10077.77307,21,2004827910,98.742809,4.86004
COLORADO_KIOWA,4578603586,47032918,19334.28287,49,4625636504,98.983212,3.986304
COLORADO_KIT CARSON,5596501939,2251929,25084.12891,57,5598753868,99.959778,4.402495
COLORADO_LA PLATA,4376255148,25642578,15798.5389,45,4401897726,99.417465,3.531358
COLORADO_LAKE,976215867,18111565,5728.787811,12,994327432,98.178511,4.862561
COLORADO_LARIMER,6723025059,99007869,32592.82169,72,6822032928,98.548704,4.593445
COLORADO_LAS ANIMAS,12361852579,6929970,39169.94759,131,12368782549,99.943972,2.991749
COLORADO_LINCOLN,6676158660,22780358,31859.8017,71,6698939018,99.659941,4.502608
COLORADO_LOGAN,4761947979,16363553,23737.41751,52,4778311532,99.657545,4.580574
COLORADO_MESA,8621849401,31490395,25486.23685,89,8653339796,99.63609,2.874081
COLORADO_MINERAL,2268209075,5222161,9728.811462,22,2273431236,99.770296,4.432368
COLORADO_MOFFAT,12284943819,19803411,51688.44724,129,12304747230,99.839059,4.013315
COLORADO_MONTEZUMA,5255990025,27208195,12601.7287,57,5283198220,99.485005,2.222274
COLORADO_MONTROSE,5804023558,4923260,16635.84628,61,5808946818,99.915247,2.729501
COLORADO_MORGAN,3316441486,34663098,15442.55783,35,3351104584,98.965622,4.458275
COLORADO_OTERO,3268424427,20092434,8676.91243,34,3288516861,99.389012,2.567722
COLORADO_OURAY,1402719363,1599543,5988.50354,14,1404318906,99.886098,4.28238
COLORADO_PARK,5682182508,43519840,27960.05469,57,5725702348,99.239921,4.942842
COLORADO_PHILLIPS,1781724976,301808,8628.779877,19,1782026784,99.983064,4.542232
COLORADO_PITKIN,2514104907,6472577,13261.54697,26,2520577484,99.743211,5.113727
COLORADO_PROWERS,4243429484,15345176,16630.83255,43,4258774660,99.639681,3.881622
COLORADO_PUEBLO,6179964847,30219283,18501.98926,64,6210184130,99.513392,2.905072
COLORADO_RIO BLANCO,8342275014,4868111,35154.88237,88,8347143125,99.941679,3.997204
COLORADO_RIO GRANDE,2361956092,984295,7373.319901,24,2362940387,99.958344,3.073497
COLORADO_ROUTT,6117602807,15831744,30966.33917,60,6133434551,99.741878,5.174413
COLORADO_SAGUACHE,8206547705,4454510,29862.29712,85,8211002215,99.945749,3.515118
COLORADO_SAN JUAN,1003660672,2035929,4657.836395,10,1005696601,99.79756,4.667285
COLORADO_SAN MIGUEL,3332606082,5204095,12558.60997,37,3337810177,99.844087,3.399519
COLORADO_SEDGWICK,1419419016,3530746,6095.799194,14,1422949762,99.751871,4.364973
COLORADO_SUMMIT,1575590637,28283537,8552.569702,18,1603874174,98.236549,4.836721
COLORADO_TELLER,1442732301,4946547,7831.582916,16,1447678848,99.658312,4.911521
COLORADO_WASHINGTON,6521806798,15207401,32263.91531,68,6537014199,99.767365,4.755757
COLORADO_WELD,10320918528,82403821,47165.98325,109,10403322349,99.207909,4.361703
COLORADO_YUMA,6123763561,11134665,30204.23929,67,6134898226,99.818503,4.516292
CONNECTICUT_FAIRFIELD,1618659464,549285481,9701.736877,15,2167944945,74.66331,8.662654
CONNECTICUT_HARTFORD,1903543898,40543777,13901.31055,22,1944087675,97.914509,6.453362
CONNECTICUT_LITCHFIELD,2384120288,62342856,16027.1687,25,2446463144,97.451715,6.578507
CONNECTICUT_MIDDLESEX,956493754,180679140,7598.941895,12,1137172894,84.111551,7.528635
CONNECTICUT_NEW HAVEN,1565683007,667074958,8816.296814,14,2232757965,70.123275,8.980406
CONNECTICUT_NEW LONDON,1722711022,276663467,10919.09149,17,1999374489,86.162499,7.454513
CONNECTICUT_TOLLAND,1062807466,17549693,6325.432129,10,1080357159,98.375566,6.429881
CONNECTICUT_WINDHAM,1328478482,21477921,9560.347412,15,1349956403,98.408992,6.476608
DELAWARE_KENT,1517888728,549776901,9135.175354,14,2067665629,73.410744,8.888515
DELAWARE_NEW CASTLE,1104157957,175368158,7670.138123,12,1279526115,86.294288,7.406342
DELAWARE_SUSSEX,2424573396,674146105,15850.68243,24,3098719501,78.244365,8.440801
FLORIDA_ALACHUA,2267634813,241567998,15773.46985,28,2509202811,90.372719,6.231767
FLORIDA_BAKER,1515738968,9686120,10570.13062,18,1525425088,99.365022,5.909821
FLORIDA_BAY,1964743641,711110042,9817.054932,16,2675853683,73.424928,8.356371
FLORIDA_BRADFORD,761362115,16905201,4028.100952,7,778267316,97.827841,5.882201
FLORIDA_BREVARD,2628793422,1403880653,17498.22321,24,4032674075,65.187351,11.184572
FLORIDA_BROWARD,3115289087,310801098,37711.92798,32,3426090185,90.928403,12.960722
FLORIDA_CALHOUN,1469394565,18070425,9897.275879,16,1487464990,98.785153,6.26187
FLORIDA_CHARLOTTE,1764058559,458736680,18621.31799,19,2222795239,79.362171,12.349327
FLORIDA_CITRUS,1507142302,495547944,9424.974182,17,2002690246,75.255887,7.367002
FLORIDA_CLAY,1565946418,100824283,10534.03076,18,1666770701,93.950921,6.229039
FLORIDA_COLLIER,5172045734,797817705,52102.58887,52,5969863439,86.635914,11.565329
